90, True: 0, Predicted: 1, Text: asked 3mobile if 0870 chatlines inclu in free mins india cust servs sed yes l8er got mega bill 3 dont care bailiff due in days i o 250 3 want 800
250, True: 0, Predicted: 1, Text: for sale arsenal dartboard good condition but no doubles or trebles
304, True: 1, Predicted: 0, Text: call to the number which is available in appointment and ask to connect the call to waheed fathima
315, True: 0, Predicted: 1, Text: hello darling how are you today i would love to have a chat why dont you tell me what you look like and what you are in to sexy
436, True: 0, Predicted: 1, Text: did you hear about the new divorce barbie it comes with all of ken s stuff
474, True: 0, Predicted: 1, Text: we know someone who you know that fancies you call 09058097218 to find out who pobox 6 ls15hb 150p
500, True: 0, Predicted: 1, Text: how come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night
514, True: 0, Predicted: 1, Text: life has never been this much fun and great until you came in you made it truly special for me i won t forget you enjoy one gbp sms
555, True: 0, Predicted: 1, Text: adult 18 content your video will be with you shortly
583, True: 0, Predicted: 1, Text: not heard from u4 a while call me now am here all night with just my knickers on make me beg for it like u did last time 01223585236 xx luv nikiyu4 net
615, True: 0, Predicted: 1, Text: sunshine quiz win a super sony dvd recorder if you canname the capital of australia text mquiz to 82277 b
624, True: 1, Predicted: 0, Text: your account has been refilled successfully by inr decimal your keralacircle prepaid account balance is rs decimal your transaction id is kr
706, True: 0, Predicted: 1, Text: call freephone 0800 542 0578 now
877, True: 1, Predicted: 0, Text: hi mobile no has added you in their contact list on www fullonsms com it s a great place to send free sms to people for more visit fullonsms com
1073, True: 0, Predicted: 1, Text: would you like to see my xxx pics they are so hot they were nearly banned in the uk
1162, True: 0, Predicted: 1, Text: do you ever notice that when you re driving anyone going slower than you is an idiot and everyone driving faster than you is a maniac
1188, True: 0, Predicted: 1, Text: 08714712388 between 10am 7pm cost 10p
1190, True: 1, Predicted: 0, Text: sir i am waiting for your call once free please call me
1202, True: 0, Predicted: 1, Text: you have 1 new voicemail please call 08719181513
1312, True: 0, Predicted: 1, Text: 88066 from 88066 lost 3pound help
1462, True: 0, Predicted: 1, Text: warner village 83118 c colin farrell in swat this wkend warner village get 1 free med popcorn just show msg ticket kiosk valid 4 7 12 c t c kiosk reply sony 4 mre film offers
1465, True: 0, Predicted: 1, Text: 100 dating service cal l 09064012103 box334sk38ch
1647, True: 0, Predicted: 1, Text: monthly password for wap mobsi com is 391784 use your wap phone not pc
1685, True: 1, Predicted: 0, Text: we have sent jd for customer service cum accounts executive to ur mail id for details contact us
1708, True: 0, Predicted: 1, Text: latest news police station toilet stolen cops have nothing to go on
1798, True: 0, Predicted: 1, Text: private your 2003 account statement for 078
1849, True: 0, Predicted: 1, Text: check out choose your babe videos sms shsex netun fgkslpopw fgkslpo
1868, True: 0, Predicted: 1, Text: network operator the service is free for t c s visit 80488 biz
1941, True: 1, Predicted: 0, Text: your account has been refilled successfully by inr decimal your keralacircle prepaid account balance is rs decimal your transaction id is kr
2052, True: 0, Predicted: 1, Text: download as many ringtones as u like no restrictions 1000s 2 choose u can even send 2 yr buddys txt sir to 80082 3
2085, True: 0, Predicted: 1, Text: 2 2 146tf150p
2126, True: 0, Predicted: 1, Text: the current leading bid is 151 to pause this auction send out customer care 08718726270
2150, True: 0, Predicted: 1, Text: money i have won wining number 946 wot do i do next
2245, True: 1, Predicted: 0, Text: hi mobile no has added you in their contact list on www fullonsms com it s a great place to send free sms to people for more visit fullonsms com
2297, True: 0, Predicted: 1, Text: xclusive clubsaisai 2morow 28 5 soiree speciale zouk with nichols from paris free roses 2 all ladies info 07946746291 07880867867
2331, True: 0, Predicted: 1, Text: win the newest harry potter and the order of the phoenix book 5 reply harry answer 5 questions chance to be the first among readers
2540, True: 0, Predicted: 1, Text: filthy stories and girls waiting for your
2582, True: 0, Predicted: 1, Text: hi this is amy we will be sending you a free phone number in a couple of days which will give you an access to all the adult parties
2683, True: 0, Predicted: 1, Text: bought one ringtone and now getting texts costing 3 pound offering more tones etc
2808, True: 0, Predicted: 1, Text: babe u want me dont u baby im nasty and have a thing 4 filthyguys fancy a rude time with a sexy babe how about we go slo n hard txt xxx slo 4msgs
2973, True: 0, Predicted: 1, Text: as a registered optin subscriber ur draw 4 100 gift voucher will be entered on receipt of a correct ans to 80062 whats no1 in the bbc charts
